Source,Page,Product Code,Description,Original Price,New Price
Sofas NY,1,F4605,Brown Faux Leather (same prices),212.0,471
Sofas NY,2,F4501,Black & White Faux Leather - Sofa,212.0,471
Sofas NY,2,F4501,Black & White Faux Leather - Loveseat,172.0,382
Sofas NY,2,F4501,Black & White Faux Leather - Chair,116.0,258
Sofas NY,2,F4502,Black Faux Leather (same prices),212.0,471
Sofas NY,2,F4503,Black & Red Faux Leather (same prices),212.0,471
Sofas NY,3,F4904,Gray Microfiber - Sofa,207.0,460
Sofas NY,3,F4904,Gray Microfiber - Loveseat,184.0,409
Sofas NY,3,F4904,Gray Microfiber - Chair,120.0,267
Sofas NY,3,F4901,Red Microfiber (same prices),207.0,460
Sofas NY,3,F4902,Black Microfiber (same prices),207.0,460
Sofas NY,3,F4903,Blue Microfiber (same prices),207.0,460
Sofas NY,3,F4905,White Microfiber (same prices),207.0,460
Sofas NY,4,FF0001,Gray White Flannelette Sofabed,277.0,616
Sofas NY,4,FF0002,Dark Brown Sofabed,277.0,616
Sofas NY,4,FF0003,Red Sofabed,277.0,616
Sofas NY,4,FF0004,Blue Sofabed,277.0,616
Sofas NY,4,FF0005,Black Sofabed,277.0,616
Sofas NY,4,FF0006,Dark Gray Sofabed,277.0,616
Sofas NY,5,FF0051,Dark Gray Sackcloth Sectional,384.0,853
Sofas NY,5,FF0053,Cream White Sackcloth Sectional SALE,342.0,760
Sofas NY,5,FF0052,Dark Gray Sackcloth Sectional,351.0,780
Sofas NY,6,F5996-#1,Dark Gray Corduroy Sectional with Ottoman,708.0,1573
Sofas NY,6,F5996-#1,Ottoman,61.0,136
Sofas NY,6,F5996-#1,Sofa,308.0,684
Sofas NY,6,F5996-#5,Loveseat,224.0,498
Sofas NY,6,F5996-#6,Sofa,308.0,684
Sofas NY,7,F5996-#2,Sectional,512.0,1138
Sofas NY,7,F5996-#3,Sofa with Console,368.0,818
Sofas NY,7,F5996-#4,Sectional,480.0,1067
Sofas NY,7,F5996-C,Chair,84.0,187
Sofas NY,8,F2502,Black Faux Leather - Chair,124.0,276
Sofas NY,8,F2502,Black Faux Leather - Sofa,274.0,609
Sofas NY,8,F2502,Black Faux Leather - Loveseat,180.0,400
Sofas NY,8,FU2201,White Flannelette Chaise Sectional,216.0,480
Sofas NY,8,F22021,Black Faux Leather Chaise Sectional,245.0,544
Sofas NY,9,F44672,Brown Flannel U-Sectional,560.0,1244
Sofas NY,9,F44673,Blue Flannel U-Sectional,560.0,1244
Sofas NY,10,F22302,Apple Green Woven Cotton Sectional,307.0,682
Sofas NY,10,F22301,Blue Sectional,307.0,682
Sofas NY,10,F22306,Light Gray Sectional,307.0,682
Sofas NY,10,F22307,Pale Green Sectional,307.0,682
Sofas NY,10,F22306,Dark Gray Sectional,307.0,682
Sofas NY,11,F4974#1,Brown Corduroy Modular Sofa,820.0,1822
Sofas NY,11,F4972#1,Green Corduroy Modular Sofa,820.0,1822
Sofas NY,11,F4973#1,Gray Corduroy Modular Sofa,820.0,1822
Sofas NY,12,F4973#5 / F4972#5 / F4974#5,Corduroy Sectional,616.0,1369
Sofas NY,12,F4974#4 / F4973#4 / F4972#5,Sofa + Loveseat + Ottoman,746.0,1658
Sofas NY,13,F4982#1,Gray Corduroy Modular,820.0,1822
Sofas NY,13,F4983#1,Beige Corduroy Modular,820.0,1822
Sofas NY,13,F4984#1,Green Corduroy Modular,820.0,1822
Sofas NY,13,F4983#3 / F4984#3,Sectional,573.0,1273
Sofas NY,13,F4982#4,Sofa + Loveseat + Ottoman,726.0,1613
Sofas NY,14,F4992#1,Gray Microfiber Modular,895.0,1989
Sofas NY,14,F4992#3,Gray Microfiber Chaise Sectional,552.0,1227
Sofas NY,14,F4992#4,Sofa + Loveseat + Ottoman,701.0,1558
Top Grain Leather NY,1,GN8602,Dark Gray Genuine Leather Sectional,2130.0,4733
Top Grain Leather NY,2,GN8602,Mahogany Brown Genuine Leather Sectional,1926.0,4280
Top Grain Leather NY,2,GN8603,Taupe Genuine Leather Sectional,1926.0,4280
Top Grain Leather NY,3,GN8322,Gray Genuine Leather - Chair,480.0,1067
Top Grain Leather NY,3,GN8322,Gray Genuine Leather - Sofa,734.0,1631
Top Grain Leather NY,3,GN8322,Gray Genuine Leather - Loveseat,710.0,1578
Top Grain Leather NY,4,F302,Black & Red Genuine Leather - Chair,291.0,647
Top Grain Leather NY,4,F302,Black & Red Genuine Leather - Sofa,655.0,1456
Top Grain Leather NY,4,F302,Black & Red Genuine Leather - Loveseat,453.0,1007
Top Grain Leather NY,4,F304,Black Genuine Leather - Sofa,655.0,1456
Top Grain Leather NY,4,F304,Black Genuine Leather - Chair,291.0,647
Top Grain Leather NY,4,F306,Brown & Black Genuine Leather - Sofa,655.0,1456
Top Grain Leather NY,4,F306,Brown & Black Genuine Leather - Chair,291.0,647
Top Grain Leather NY,5,F8301A,Black Genuine Leather Chesterfield Sectional,1847.0,4104
Top Grain Leather NY,5,F8302A,White Genuine Leather Chesterfield Sectional,1847.0,4104
Top Grain Leather NY,5,F8302B,White Genuine Leather Chesterfield Chaise,1847.0,4104
Top Grain Leather NY,5,F8301B,Black Genuine Leather Chesterfield Chaise,1847.0,4104
Top Grain Leather NY,6,F8801,Black Genuine Leather - Chair,632.0,1404
Top Grain Leather NY,6,F8801,Black Genuine Leather - Sofa,822.0,1827
Top Grain Leather NY,6,F8801,Black Genuine Leather - Loveseat,458.0,1018
Top Grain Leather NY,6,F8802,White Genuine Leather - Chair,632.0,1404
Top Grain Leather NY,6,F8802,White Genuine Leather - Sofa,822.0,1827
Top Grain Leather NY,6,F8802,White Genuine Leather - Loveseat,458.0,1018
Top Grain Leather NY,7,F3210#1,Brown Genuine Leather Sectional,1925.0,4278
Top Grain Leather NY,7,F3210#1,Ottoman,183.0,407
Top Grain Leather NY,7,F3210#2,Brown Genuine Leather Sectional,1675.0,3722
Top Grain Leather NY,7,F3210#2,Ottoman,183.0,407
Top Grain Leather NY,8,F3210#3,"Brown Genuine Leather - L,L,C,O",1803.0,4007
Top Grain Leather NY,8,F3210#3,Love,598.0,1329
Top Grain Leather NY,8,F3210#3,Chair,425.0,944
Top Grain Leather NY,8,F3210#3,Ottoman,183.0,407
Top Grain Leather NY,8,F3210#4,"Brown Genuine Leather - S,L,O",1629.0,3620
Top Grain Leather NY,8,F3210#4,Sofa,848.0,1884
Top Grain Leather NY,8,F3210#4,Love,598.0,1329
Top Grain Leather NY,8,F3210#4,Ottoman,183.0,407
